Site,Q_StartTime,Q_EndTime,Q_PeakTime,Q_Total_mm,Q_Runoff_mm,Q_Peak_cms.sqkm,Q_Peak_cfs,Q_Duration_hrs,Q_TimeToFlowPeak_hrs,Q_RiseRate_cms.hr,Q_PriorDry_hrs,Q_Runoff_PrecipRatio,Q_Total_PrecipRatio,Precip_StartTime,Precip_EndTime,Precip_Total_mm,Precip_Duration_hrs,Precip_PriorDry_hrs
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/23/2008 9:35,2/23/2008 12:00,1.016,2.42,17.67
Urban Control,2/26/2008 10:15,2/27/2008 15:15,2/26/2008 17:45,1.76,0.65,0.039,4.26,29,7.5,0.016,86.33,0.06226,0.16919,2/26/2008 3:40,2/26/2008 17:30,10.414,13.83,63.67
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/1/2008 4:10,3/1/2008 4:55,0.762,0.75,82.67
Urban Control,3/4/2008 22:10,3/7/2008 7:15,3/5/2008 1:30,12.7,7.17,0.297,32.5,57.08,3.33,0.276,142.58,0.20162,0.35704,3/4/2008 17:55,3/5/2008 5:20,35.56,11.42,85
Urban Control,3/7/2008 15:35,3/9/2008 8:45,3/7/2008 17:15,5,1.64,0.055,6.06,41.17,1.67,0.103,8.25,0.08269,0.25249,3/7/2008 13:15,3/8/2008 16:00,19.812,17.08,55.92
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/10/2008 22:45,3/11/2008 0:00,0.762,1.25,54.75
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/15/2008 0:25,3/15/2008 1:35,0.762,1.17,96.42
Urban Control,3/16/2008 3:30,3/16/2008 13:40,3/16/2008 4:00,0.53,0.19,0.019,2.04,10.17,0.5,0.116,102.08,0.03045,0.08773,3/15/2008 21:25,3/16/2008 7:50,6.096,10.42,12.67
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/18/2008 16:40,3/18/2008 22:05,2.794,5.42,56.83
Urban Control,3/19/2008 13:45,3/20/2008 14:15,3/19/2008 15:00,2.3,1,0.053,5.77,24.5,1.25,0.131,11.67,0.07544,0.17426,3/19/2008 12:00,3/20/2008 0:30,13.208,12.5,13.92
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/27/2008 8:50,3/27/2008 9:40,0.508,0.83,176.33
Urban Control,3/31/2008 20:50,3/31/2008 22:50,3/31/2008 21:15,0.07,0.02,0.011,1.17,2,0.42,0.079,259.25,0.00238,0.00967,3/31/2008 7:35,4/1/2008 7:00,7.62,23.42,93.92
Urban Control,4/3/2008 17:35,4/5/2008 15:10,4/3/2008 22:00,5.14,1.97,0.074,8.1,45.58,4.42,0.052,66.67,0.0862,0.22466,4/3/2008 14:50,4/4/2008 3:05,22.86,12.25,55.83
